label,legal_problem_code
Administrative Law > DMV (Non-Criminal),93 Licenses (Drivers, Occupational, and Others)
Administrative Law > General (Federal),99 Other Miscellaneous
Administrative Law > General (Local/Municipal),97 Municipal Legal Needs
Administrative Law > General (State),99 Other Miscellaneous
Administrative Law > Medicare/Medicaid,51 Medicaid
Administrative Law > Military/Veterans,77 Veterans Benefits
Administrative Law > Other,99 Other Miscellaneous
Administrative Law > PERS,78 State and Local Income Maintenance
Administrative Law > Professional Licensing,93 Licenses (Drivers, Occupational, and Others)
Administrative Law > Schools - Special Needs Edu.,13 Special Education/Learning Disabilities
Administrative Law > Social Security/SSI,72 Social Security (Not SSDI)
Administrative Law > SSD (Social Security Disability),74 SSDI
Administrative Law > Student Rights,14 Access (Including Bilingual, Residency, Testing)
Administrative Law > Transportation,99 Other Miscellaneous
Administrative Law > Unemployment,76 Unemployment Compensation
Administrative Law > Utilities,07 Public Utilities
Administrative Law > Welfare,71 TANF
Bankruptcy > Business,01 Bankruptcy/Debtor Relief
Bankruptcy > Creditors,02 Collect/Repo/Def/Garnsh
Bankruptcy > Document Review,01 Bankruptcy/Debtor Relief
Bankruptcy > Farms,01 Bankruptcy/Debtor Relief
Bankruptcy > Other,01 Bankruptcy/Debtor Relief
Bankruptcy > Personal,01 Bankruptcy/Debtor Relief
Bankruptcy > Pro Se Coaching,01 Bankruptcy/Debtor Relief
Business & Corporate > Agriculture/Farm,01 Bankruptcy/Debtor Relief
Business & Corporate > Construction,03 Contract/Warranties
Business & Corporate > Entertainment,03 Contract/Warranties
Business & Corporate > Environment,99 Other Miscellaneous
Business & Corporate > Franchise,03 Contract/Warranties
"Business & Corporate > General (Contracts, Business, Organization)",03 Contract/Warranties
Business & Corporate > Litigation,99 Other Miscellaneous
Business & Corporate > Marijuana Business,99 Other Miscellaneous
Business & Corporate > Non-Profit,91 Legal Assist. to Non-Profit Org. or Group (Incl. Incorp./Diss.)
Business & Corporate > Other,99 Other Miscellaneous
Business & Corporate > Publishing,03 Contract/Warranties
Business & Corporate > Restaurant/OLCC,03 Contract/Warranties
Business & Corporate > Sale of Business,03 Contract/Warranties
Business & Corporate > Securities,03 Contract/Warranties
Consumer Law > Automobiles/RVs/Mobile Homes,08 Unfair and Deceptive Sales Practices (Not Real Property)
Consumer Law > Banking,01 Bankruptcy/Debtor Relief
Consumer Law > General,09 Other Consumer/Finance
Consumer Law > Identity Theft,09 Other Consumer/Finance
Consumer Law > Insurance,09 Other Consumer/Finance
Consumer Law > Mortgage Issues (non-foreclosure),06 Loans/Installment Purchases (Not Collections)
Consumer Law > Other,09 Other Consumer/Finance
Consumer Law > Problems Between Consumers,09 Other Consumer/Finance
Consumer Law > Small Claims Advice,09 Other Consumer/Finance
Consumer Law > Storage Units,09 Other Consumer/Finance
Consumer Law > Vehicle Towing,09 Other Consumer/Finance
Criminal Law > DMV(DUI Relate),93 Licenses (Drivers, Occupational, and Others)
Criminal Law > DUII/DWS,93 Licenses (Drivers, Occupational, and Others)
Criminal Law > Expunction,87 Criminal Record Expungement
Criminal Law > Gun Rights,85 Civil Rights
Criminal Law > Juvenile Offender,41 Delinquent
Criminal Law > Local Ordinances,97 Municipal Legal Needs
Criminal Law > Mental Commitment,82 Mental Health
Criminal Law > Other,99 Other Miscellaneous
Criminal Law > Post Conviction/ Appeals,99 Other Miscellaneous
Criminal Law > Relief From Sex Offender Registration,87 Criminal Record Expungement
Criminal Law > Traffic Offenses,93 Licenses (Drivers, Occupational, and Others)
